time	V(-y)	V(x)	V(z)
7.591586480712972e-07	-4.070818e-16	1.652622e-17	1.562388e-18
7.611586480712972e-07	-4.070818e-16	2.211693e-17	1.562389e-18
7.651586480712972e-07	1.101583e-16	-1.941116e-17	1.562392e-18
7.651742730712973e-07	7.401487e-17	-3.130657e-17	1.562392e-18
7.652055230712972e-07	1.110223e-16	-4.845803e-17	1.562392e-18
7.652680230712972e-07	4.218847e-16	-2.983463e-17	1.562392e-18
7.652836480712973e-07	3.330669e-16	-3.016063e-17	1.562392e-18
7.653148980712972e-07	-6.661338e-17	-4.256124e-17	1.562392e-18
7.653227105712973e-07	-1.850372e-16	-4.839683e-17	1.562392e-18
7.653383355712973e-07	-1.850372e-16	-4.929843e-17	1.562392e-18
7.653695855712973e-07	2.220446e-16	-2.842101e-17	1.562392e-18
7.654320855712973e-07	1.776357e-16	-6.247176e-18	1.562392e-18
7.654477105712973e-07	7.401487e-17	-3.952351e-18	1.562392e-18
7.654789605712973e-07	7.401487e-17	-4.095125e-19	1.562392e-18
7.655414605712973e-07	3.996803e-16	9.477793e-18	1.562392e-18
7.655570855712974e-07	3.700743e-16	1.351984e-17	1.562392e-18
7.655883355712973e-07	-4.440892e-17	3.082194e-17	1.562392e-18
7.655961480712973e-07	-1.110223e-16	2.697485e-18	1.562392e-18
7.655981011962974e-07	-1.998401e-16	-1.506905e-17	1.562392e-18
7.655985894775473e-07	-2.220446e-16	-8.699903e-18	1.562392e-18
7.655987115478599e-07	-1.143866e-16	-1.473075e-17	1.562392e-18
7.655987153625571e-07	-1.110223e-16	6.548976e-18	1.562392e-18
7.655987163162314e-07	-3.364415e-18	2.004277e-17	1.562392e-18
7.655987163460337e-07	3.700740e-17	2.150709e-17	1.562392e-18
7.655987164056384e-07	2.220412e-17	3.827043e-17	1.562392e-18
7.655987164205395e-07	-3.700729e-17	4.783145e-17	1.562392e-18
7.655987164503418e-07	-7.401490e-17	5.655274e-17	1.562392e-18
7.655987165099465e-07	-8.881797e-17	5.608322e-17	1.562392e-18
7.655987165248476e-07	-1.110223e-16	6.530349e-17	1.562392e-18
7.655987165546499e-07	-3.700729e-17	7.577160e-17	1.562392e-18
7.655987166142546e-07	1.480298e-16	4.669772e-17	1.562392e-18
7.655987167334639e-07	2.220446e-16	-1.125782e-17	1.562392e-18
7.655987169718825e-07	1.850372e-16	-3.007930e-17	1.562392e-18
7.655987174487197e-07	2.220447e-17	1.713296e-17	1.562392e-18
7.655987175679290e-07	0.000000e+00	-5.058097e-18	1.562392e-18
7.655987178063476e-07	0.000000e+00	-2.600108e-17	1.562392e-18
7.655987182831847e-07	3.700744e-17	2.439574e-17	1.562392e-18
7.655987192368590e-07	1.110223e-16	8.060102e-18	1.562392e-18
7.655987211442077e-07	7.401486e-17	-1.076981e-19	1.562392e-18
